,label
protein-40122,1
protein-20454,1
protein-46742,1
protein-44305,0
protein-26318,1
protein-32494,1
protein-166,0
protein-15227,1
protein-23183,0
protein-4501,0
protein-56041,0
protein-34010,0
protein-2943,1
protein-41701,1
protein-25469,1
protein-6873,1
protein-7398,0
protein-49617,0
protein-17682,0
protein-51077,1
protein-42126,1
protein-61334,1
protein-978,0
protein-18401,1
protein-22518,1
protein-5021,0
protein-21023,1
protein-12007,1
protein-41160,1
protein-44274,0
protein-21505,1
protein-62541,1
protein-34282,1
protein-64349,0
protein-23367,0
protein-9924,0
protein-10843,0
protein-2092,0
protein-13239,1
protein-30407,0
protein-35544,0
protein-2902,1
protein-5353,0
protein-29877,1
protein-18153,0
protein-3629,0
protein-11427,0
protein-31772,1
protein-39673,0
protein-37469,0
protein-26460,0
protein-13489,1
protein-41889,1
protein-59424,0
protein-60296,0
protein-4202,0
protein-3471,0
protein-7503,1
protein-42567,0
protein-34214,0
protein-63992,0
protein-33281,0
protein-6536,1
protein-56827,1
protein-1363,0
protein-61379,1
protein-14578,0
protein-2241,0
protein-49533,0
protein-24030,0
protein-6380,0
protein-12506,1
protein-20439,1
protein-16306,0
protein-17005,1
protein-37687,0
protein-25068,1
protein-2238,0
protein-24736,0
protein-6903,1
protein-50221,1
protein-55058,0
protein-39655,1
protein-49078,0
protein-21230,1
protein-8372,1
protein-35001,1
protein-57663,0
protein-9000,1
protein-24573,1
protein-36157,0
protein-25357,1
protein-25322,1
protein-16688,1
protein-10158,0
protein-11710,1
protein-38857,1
protein-44382,1
protein-46897,0
protein-45627,1
protein-20041,0
protein-36350,0
protein-57171,1
protein-55122,0
protein-492,0
protein-64587,0
protein-44314,0
protein-29157,0
protein-35039,1
protein-56473,1
protein-32702,0
protein-22562,1
protein-41824,1
protein-20632,1
protein-11593,1
protein-39331,1
protein-7887,1
protein-33695,0
protein-2651,1
protein-57262,1
protein-31120,1
protein-41621,1
protein-11265,0
protein-16405,0
protein-644,1
protein-59692,1
protein-44738,1
protein-62254,1
protein-19266,0
protein-41061,0
protein-25783,1
protein-25418,1
protein-34469,1
protein-51256,0
protein-47262,0
protein-2719,0
protein-7558,1
protein-5727,0
protein-32307,1
protein-12366,1
protein-40175,1
protein-7871,1
protein-43330,0
protein-63544,0
protein-31406,1
protein-44285,0
protein-12653,1
protein-7799,1
protein-56578,1
protein-30776,0
protein-49260,0
protein-12869,1
protein-22225,0
protein-59181,1
protein-1544,0
protein-23674,0
protein-53387,1
protein-4038,0
protein-35890,0
protein-12513,1
protein-63839,0
protein-41417,0
protein-55300,1
protein-24217,0
protein-46918,0
protein-28114,1
protein-39203,1
protein-392,1
protein-35479,0
protein-47464,0
protein-29668,1
protein-6762,1
protein-50523,0
protein-60804,1
protein-2682,0
protein-13609,1
protein-33775,0
protein-63715,0
protein-27061,1
protein-45520,1
protein-31177,1
protein-19554,0
protein-56733,0
protein-427,0
protein-5886,1
protein-61119,0
protein-51495,0
protein-41212,1
protein-50062,0
protein-13119,1
protein-46945,0
protein-12,0
protein-31589,1
protein-28125,1
protein-34576,1
protein-32657,1
protein-63993,0
protein-933,0
protein-59200,1
protein-37766,0
protein-63927,0
protein-29972,1
protein-25917,1
protein-41982,0
protein-63418,0
protein-47329,0
protein-45491,1
protein-18462,1
protein-47878,0
protein-22195,0
protein-42785,1
protein-10238,0
protein-18526,0
protein-32605,1
protein-33913,0
protein-53302,1
protein-73,0
protein-37457,0
protein-2295,1
protein-48988,0
protein-43386,0
protein-17722,0
protein-29734,1
protein-36674,1
protein-46355,1
protein-43947,1
protein-58144,1
protein-34587,1
protein-64560,0
protein-36417,0
protein-47997,0
protein-47268,0
protein-22995,1
protein-32722,0
protein-18781,0
protein-54991,0
protein-4797,0
protein-37518,0
protein-33696,0
protein-6886,1
protein-40649,0
protein-24185,0
protein-15976,1
protein-55624,1
protein-38613,1
protein-43395,0
protein-57129,1
protein-63184,0
protein-60936,1
protein-42517,1
protein-32190,0
protein-58754,1
protein-46265,1
protein-5031,0
protein-29004,1
protein-49843,0
protein-50319,1
protein-60071,0
protein-25888,1
protein-42684,1
protein-8872,1
protein-11798,1
protein-15982,1
protein-47267,0
protein-46866,0
protein-27512,1
protein-43230,0
protein-47745,0
protein-46895,0
protein-24626,1
protein-53628,1
protein-34864,1
protein-10379,1
protein-33609,0
protein-14193,1
protein-49866,0
protein-57108,1
protein-5662,0
protein-3310,0
protein-15421,0
protein-53548,0
protein-36827,0
protein-62200,1
protein-1906,1
protein-24220,0
protein-40980,0
protein-59087,1
protein-4157,0
protein-62847,1
protein-33323,1
protein-54878,1
protein-52928,0
protein-14005,0
protein-63249,0
protein-5674,0
protein-41093,0
protein-53894,0
protein-11906,1
protein-62560,1
protein-6804,1
protein-37346,1
protein-58899,1
protein-15527,1
protein-47766,0
protein-58937,1
protein-29692,1
protein-12672,1
protein-36970,0
protein-49683,0
protein-42153,1
protein-23669,0
protein-33889,0
protein-49868,0
protein-54213,0
protein-32274,0
protein-37860,0
protein-7812,1
protein-8823,1
protein-37296,1
protein-37410,1
protein-43213,0
protein-5117,0
protein-28650,1
protein-31174,1
protein-13831,1
protein-59878,0
protein-264,0
protein-53179,0
protein-43516,0
protein-13611,1
protein-22515,1
protein-22056,0
protein-32596,1
protein-10659,1
protein-55467,0
protein-32908,0
protein-41903,1
protein-47468,0
protein-64459,1
protein-9734,0
protein-50525,0
protein-13931,1
protein-21722,0
protein-32073,0
protein-64218,0
protein-42328,0
protein-64205,0
protein-16414,0
protein-2302,1
protein-58854,0
protein-45805,1
protein-19169,0
protein-11887,1
protein-31467,1
protein-40227,0
protein-60450,1
protein-9203,1
protein-15510,1
protein-9556,0
protein-53181,0
protein-48978,0
protein-21420,1
protein-57403,1
protein-9572,0
protein-56884,1
protein-34573,1
protein-8125,1
protein-4094,0
protein-4114,0
protein-54474,1
protein-20945,1
protein-6246,0
protein-48676,1
protein-1465,0
protein-57902,0
protein-26848,0
protein-26158,1
protein-3553,0
protein-26835,0
protein-24876,1
protein-12773,1
protein-56670,0
protein-5287,0
protein-53163,0
protein-32187,0
protein-53238,1
protein-10495,0
protein-18925,0
protein-64455,1
protein-20223,1
protein-33047,0
protein-59807,1
protein-41097,0
protein-1159,0
protein-49102,0
protein-3356,0
protein-49002,0
protein-51096,1
protein-12093,1
protein-60003,0
protein-35494,0
protein-6869,1
protein-60566,0
protein-35991,0
protein-27192,1
protein-8802,1
protein-23375,0
protein-8327,1
protein-21750,0
protein-46845,0
protein-39957,0
protein-43621,0
protein-57114,1
protein-11855,1
protein-18353,1
protein-57015,1
protein-59136,1
protein-26890,1
protein-18684,0
protein-29615,1
protein-54069,0
protein-31807,1
protein-23521,0
protein-41182,1
protein-28044,1
protein-22859,1
protein-16291,0
protein-57629,0
protein-35650,1
protein-36812,0
protein-27908,1
protein-11610,1
protein-4661,1
protein-23608,0
protein-649,1
protein-24590,1
protein-16244,0
protein-58362,0
protein-48075,0
protein-48957,0
protein-6015,1
protein-63231,0
protein-28810,1
protein-4549,1
protein-35663,1
protein-13035,1
protein-33963,0
protein-26644,1
protein-47293,0
protein-38532,1
protein-19529,0
protein-49167,0
protein-64154,0
protein-4060,1
protein-58061,0
protein-21266,1
protein-15937,1
protein-49535,0
protein-13756,1
protein-6989,1
protein-9124,1
protein-14056,0
protein-16112,1
protein-10419,1
protein-54171,1
protein-28419,1
protein-63908,0
protein-6234,0
protein-6254,0
protein-46964,0
protein-15259,1
protein-9862,0
protein-34542,1
protein-59491,0
protein-10264,0
protein-32857,0
protein-29069,1
protein-6740,1
protein-1390,1
protein-59662,1
protein-25341,1
protein-31436,1
protein-27970,1
protein-11299,0
protein-56361,1
protein-769,0
protein-59877,0
protein-9265,0
protein-33736,1
protein-57927,0
protein-12493,1
protein-45888,1
protein-5079,0
protein-49575,0
protein-29570,1
protein-61592,1
protein-15074,1
protein-51130,0
protein-31384,1
protein-37850,0
protein-51777,1
protein-47243,1
protein-2251,0
protein-37216,1
protein-48429,0
protein-1443,1
protein-42161,1
protein-58370,0
protein-20229,1
protein-37474,0
protein-2490,0
protein-63274,1
protein-22622,1
protein-28687,1
protein-64474,1
protein-15260,1
protein-47487,0
protein-4706,0
protein-3320,0
protein-61482,1
protein-15602,0
protein-52015,1
protein-63779,0
protein-61038,1
protein-8762,1
protein-5134,0
protein-39545,1
protein-1801,0
protein-19487,0
protein-13378,1
protein-56889,1
protein-57741,0
protein-42495,1
protein-912,0
protein-54739,1
protein-41545,1
protein-38570,1
protein-58141,1
protein-48680,1
protein-1772,0
protein-20327,1
protein-9642,0
protein-59263,1
protein-55883,0
protein-12365,1
protein-13207,1
protein-2596,1
protein-7640,1
protein-2443,0
protein-39903,0
protein-17680,0
protein-36046,0
protein-2650,1
protein-1808,0
protein-35793,0
protein-2862,0
protein-23001,1
protein-8898,1
protein-919,0
protein-17142,0
protein-15559,1
protein-47264,0
protein-31805,1
protein-18371,1
protein-11607,1
protein-49739,0
protein-38006,0
protein-58190,0
protein-55245,1
protein-59780,1
protein-18578,1
protein-4620,1
protein-40647,0
protein-20049,0
protein-2159,0
protein-49512,0
protein-41022,0
protein-40887,0
protein-733,0
protein-43168,0
protein-58817,1
protein-63052,1
protein-7063,1
protein-9378,0
protein-8569,1
protein-19654,0
protein-14316,0
protein-47747,0
protein-18832,0
protein-26804,0
protein-7937,1
protein-54245,0
protein-21878,0
protein-32212,0
protein-32447,1
protein-8477,1
protein-26211,1
protein-38123,1
protein-22951,1
protein-39720,0
protein-25669,1
protein-26010,1
protein-37990,0
protein-11576,1
protein-23624,0
protein-11998,1
protein-19897,1
protein-47263,0
protein-52936,0
protein-56931,1
protein-5905,1
protein-26073,1
protein-38144,1
protein-54685,1
protein-50326,1
protein-60324,1
protein-35076,1
protein-13638,1
protein-34051,0
protein-34719,1
protein-14748,0
protein-46814,1
protein-57124,1
protein-36180,0
protein-63337,0
protein-42190,1
protein-19593,0
protein-42220,1
protein-30884,0
protein-41584,1
protein-33602,0
protein-18420,1
protein-30460,0
protein-42997,0
protein-59021,1
protein-29604,1
protein-12619,1
protein-52419,0
protein-37185,1
protein-6000,1
protein-13621,1
protein-26750,0
protein-43771,0
protein-30423,0
protein-28423,1
protein-33048,0
protein-9829,0
protein-23339,0
protein-58181,0
protein-23517,0
protein-19835,1
protein-14336,0
protein-44203,0
protein-11464,1
protein-10537,0
protein-16753,0
protein-20205,1
protein-26796,0
protein-58600,1
protein-22097,0
protein-8843,1
protein-14832,0
protein-22925,1
protein-61225,0
protein-36272,0
protein-4521,1
protein-23680,0
protein-31638,1
protein-13589,1
protein-62795,1
protein-16888,1
protein-35824,0
protein-21758,0
protein-50937,1
protein-40521,0
protein-36847,0
protein-22296,1
protein-12378,1
protein-15181,1
protein-18220,1
protein-8642,1
protein-55187,1
protein-1452,1
protein-30855,0
protein-54450,1
protein-45987,1
protein-2364,1
protein-16189,1
protein-63181,0
protein-14116,0
protein-13539,1
protein-41391,0
protein-40890,0
protein-62038,0
protein-44970,1
protein-27742,1
protein-17923,0
protein-25446,1
protein-62166,1
protein-63236,0
protein-17594,0
protein-20091,0
protein-34157,0
protein-39769,0
protein-36509,1
protein-48691,1
protein-20791,0
protein-29299,1
protein-45134,1
protein-60224,0
protein-33610,0
protein-61645,1
protein-31894,1
protein-5176,0
protein-46001,1
protein-40658,0
protein-64330,0
protein-53193,0
protein-24897,1
protein-57926,0
protein-22735,1
protein-2232,0
protein-4467,0
protein-33993,0
protein-55968,1
protein-24760,0
protein-46982,0
protein-51378,1
protein-64563,0
protein-22335,1
protein-7953,1
protein-53367,1
protein-10232,0
protein-21746,0
protein-19506,0
protein-25680,1
protein-40988,0
protein-1885,1
protein-16842,1
protein-92,0
protein-27516,1
protein-46121,1
protein-25384,1
protein-31684,1
protein-35432,0
protein-32296,1
protein-21974,0
protein-6099,1
protein-1345,0
protein-469,0
protein-62213,1
protein-50473,0
protein-63272,1
protein-56458,1
protein-59103,1
protein-57456,1
protein-55740,0
protein-6302,0
protein-31027,1
protein-60377,1
protein-6868,1
protein-46579,1
protein-10569,0
protein-39558,1
protein-33089,0
protein-4402,0
protein-21595,0
protein-38717,1
protein-57374,1
protein-28060,1
protein-64079,0
protein-29262,1
protein-19211,0
protein-8736,1
protein-8375,1
protein-20724,1
protein-21855,0
protein-45248,1
protein-60844,1
protein-25661,1
protein-40966,0
protein-26773,0
protein-19725,0
protein-14422,0
protein-41465,0
protein-39061,1
protein-39526,0
protein-2089,0
protein-49723,0
protein-5888,1
protein-13485,1
protein-42967,0
protein-7497,1
protein-20063,0
protein-8243,1
protein-18217,1
protein-16179,1
protein-42274,0
protein-16614,0
protein-51001,1
protein-33346,1
protein-35867,0
protein-22292,1
protein-7105,1
protein-64111,0
protein-28871,1
protein-9052,1
protein-3548,0
protein-52269,0
protein-50392,1
protein-59086,1
protein-15759,0
protein-27090,1
protein-56038,0
protein-50919,1
protein-60766,1
protein-58559,1
protein-13161,1
protein-3853,0
protein-29213,1
protein-39691,0
protein-61296,1
protein-46863,0
protein-39407,1
protein-7886,1
protein-7829,1
protein-58103,0
protein-44303,0
protein-42384,1
protein-60339,1
protein-4011,0
protein-52272,0
protein-63465,0
protein-18377,1
protein-60629,0
protein-12291,1
protein-38439,1
protein-1993,0
protein-22270,1
protein-9098,1
protein-14286,1
protein-13833,1
protein-41518,0
protein-20880,0
protein-55804,0
protein-31032,1
protein-33843,0
protein-17521,0
protein-3722,0
protein-17808,0
protein-30760,0
protein-27663,1
protein-61365,0
protein-56240,1
protein-54927,0
protein-53459,0
protein-7239,1
protein-15918,1
protein-45677,1
protein-23513,0
protein-54257,0
protein-61869,1
protein-10070,0
protein-5643,0
protein-2744,0
protein-51762,1
protein-59027,1
protein-49119,0
protein-51310,1
protein-28264,1
protein-57469,1
protein-32579,0
protein-60786,1
protein-34693,1
protein-33908,0
protein-34015,0
protein-42141,1
protein-36883,0
protein-32865,0
protein-28456,1
protein-3773,0
protein-25741,1
protein-49578,0
protein-44850,1
protein-48721,1
protein-59286,1
protein-50607,0
protein-37939,0
protein-30822,0
protein-54688,1
protein-52874,0
protein-30731,0
protein-13085,1
protein-12924,1
protein-55340,1
protein-33740,1
protein-47458,0
protein-56586,0
protein-2846,0
protein-5130,0
protein-31074,1
protein-47354,0
protein-31097,1
protein-19627,0
protein-41174,1
protein-17980,0
protein-15321,1
protein-40436,0
protein-42039,1
protein-5145,0
protein-43385,0
protein-32556,1
protein-980,0
protein-26705,1
protein-11495,1
protein-6283,0
protein-14932,0
protein-27138,1
protein-2298,1
protein-56430,1
protein-31356,1
protein-53393,1
protein-39928,0
protein-21421,1
protein-30264,1
protein-1441,1
protein-41300,1
protein-45954,1
protein-60051,0
protein-19663,0
protein-62665,1
protein-41563,1
protein-56217,1
protein-9939,0
protein-43167,0
protein-51233,0
protein-4757,0
protein-58676,1
protein-13105,1
protein-15846,1
protein-24646,0
protein-40497,0
protein-37614,0
protein-3075,1
protein-1079,0
protein-34539,1
protein-49947,0
protein-57709,0
protein-50313,1
protein-5666,0
protein-2990,0
protein-58301,0
protein-32728,0
protein-11032,1
protein-18373,1
protein-56069,0
protein-59936,1
protein-7517,1
protein-55415,1
protein-39159,1
protein-962,0
protein-18904,0
protein-32517,1
protein-18176,0
protein-43743,0
protein-54156,1
protein-4394,0
protein-60167,0
protein-52171,0
protein-60425,1
protein-62620,1
protein-5750,0
protein-37943,0
protein-33625,0
protein-35538,0
protein-10856,0
protein-36037,0
protein-5448,0
protein-2118,0
protein-52343,0
protein-20213,1
protein-43080,0
protein-4263,1
protein-15499,1
protein-10004,0
protein-18185,0
protein-31026,1
protein-11417,1
protein-8752,1
protein-5845,1
protein-24013,0
protein-9234,1
protein-27768,1
protein-13675,1
protein-23057,1
protein-6276,0
protein-54827,1
protein-20617,1
protein-45347,1
protein-19753,0
protein-22847,1
protein-44012,1
protein-61641,1
protein-56602,0
protein-63331,1
protein-56893,1
protein-52622,1
protein-21203,1
protein-32433,1
protein-35203,0
protein-53981,0
protein-29499,1
protein-63674,0
protein-5858,1
protein-55137,1
protein-50536,0
protein-41227,1
protein-11458,1
protein-56042,0
protein-36667,1
protein-52334,0
protein-58225,0
protein-30579,0
protein-742,0
protein-62556,1
protein-48493,0
protein-30715,0
protein-30390,0
protein-6948,1
protein-2715,0
protein-20580,1
protein-39677,0
protein-41643,1
protein-58942,1
protein-28052,1
protein-10124,0
protein-12816,1
protein-33563,0
protein-49322,0
protein-4641,1
protein-40809,0
protein-7196,1
protein-3580,0
protein-32074,0
protein-37058,1
protein-51155,0
protein-8472,1
protein-4205,0
protein-35347,0
protein-12342,1
protein-41479,0
protein-59950,1
protein-44236,0
protein-62536,1
protein-57425,1
protein-13087,1
protein-59391,0
protein-34742,1
protein-2,0
protein-31746,1
protein-47395,0
protein-62612,1
protein-58087,0
protein-7649,1
protein-4218,0
protein-26459,0
protein-33560,0
protein-59508,1
protein-44956,1
protein-13186,1
protein-21759,0
protein-58031,0
protein-32288,1
protein-4572,1
protein-5387,0
protein-19032,0
protein-39835,0
protein-30362,0
protein-50977,1
protein-55304,0
protein-62865,1
protein-3980,0
protein-59207,1
protein-44375,1
protein-15644,1
protein-45062,1
protein-62343,0
protein-49011,0
protein-50658,0
protein-35570,1
protein-39054,1
protein-25628,1
protein-36721,1
protein-48596,1
protein-11148,0
protein-22637,1
protein-31047,1
protein-50833,1
protein-22490,1
protein-17471,0
protein-4057,1
protein-19905,0
protein-39587,1
protein-35839,0
protein-7192,1
protein-55810,0
protein-38889,1
protein-939,0
protein-38442,1
protein-16858,1
protein-41764,1
protein-17457,0
protein-14798,0
protein-30589,0
protein-4076,1
protein-61852,1
protein-38544,1
protein-10897,1
protein-11428,0
protein-22479,1
protein-38157,1
protein-26110,1
protein-63677,0
protein-49077,0
protein-1112,0
protein-62262,1
protein-35643,1
protein-28929,1
protein-6085,1
protein-24172,0
protein-33930,0
protein-12087,1
protein-91,0
protein-42832,0
protein-59298,1
protein-31050,1
protein-35747,0
protein-24896,1
protein-14069,0
protein-46587,1
protein-11434,0
protein-49235,0
protein-15626,1
protein-22086,0
protein-46498,1
protein-36809,0
protein-35837,0
protein-16750,0
protein-8176,1
protein-4172,0
protein-17245,0
protein-5146,0
protein-40184,1
protein-14349,0
protein-58379,0
protein-35449,0
protein-8601,1
protein-14476,0
protein-1189,0
protein-21822,0
protein-46791,1
protein-63111,0
protein-58828,1
protein-6494,1
protein-40856,0
protein-47748,0
protein-6517,1
protein-36407,0
protein-29674,1
protein-29046,1
protein-32097,0
protein-31931,0
protein-63987,0
protein-23752,0
protein-26566,0
protein-21309,1
protein-17737,0
protein-30425,0
protein-6141,1
protein-22030,0
protein-47570,0
protein-52598,1
protein-7655,1
protein-64194,0
protein-7362,0
protein-13316,1
protein-55519,0
protein-29334,0
protein-1458,0
protein-21586,1
protein-48307,0
protein-47560,0
protein-44609,1
protein-14579,0
protein-59293,1
protein-53092,0
protein-52002,1
protein-38051,1
protein-18181,0
protein-2158,0
protein-28451,1
protein-62737,1
protein-3019,0
protein-32824,0
protein-26859,0
protein-52512,1
protein-11924,1
protein-24908,1
protein-31258,1
protein-33918,0
protein-60035,0
protein-6704,1
protein-60589,0
protein-47805,0
protein-58078,0
protein-40992,0
protein-63936,0
protein-14546,0
protein-2646,1
protein-36774,0
protein-42374,0
protein-16571,0
protein-30661,0
protein-46813,1
protein-8107,1
protein-2167,0
protein-35939,0
protein-48704,1
protein-62717,1
protein-46356,1
protein-55135,1
protein-20745,1
protein-20252,1
protein-46377,1
protein-16774,0
protein-64251,1
protein-45917,1
protein-23963,0
protein-4933,0
protein-37077,1
protein-29365,1
protein-16665,1
protein-32619,1
protein-58178,0
protein-51347,1
protein-64580,0
protein-32674,1
protein-60437,1
protein-49692,0
protein-42427,1
protein-3724,0
protein-61660,1
protein-63136,0
protein-8811,1
protein-44310,0
protein-3282,0
protein-59034,1
protein-53301,1
protein-22001,0
protein-45161,1
protein-48113,0
protein-24555,1
protein-5887,1
protein-61684,1
protein-9702,0
protein-28660,1
protein-51843,1
protein-13876,1
protein-10119,0
protein-16158,1
protein-29869,1
protein-57336,1
protein-35127,0
protein-51124,1
protein-3579,0
protein-32006,0
protein-1607,0
protein-61159,0
protein-754,0
protein-55648,1
protein-59222,1
protein-17067,0
protein-16712,1
protein-32739,0
protein-5936,1
protein-30651,0
protein-43756,0
protein-60986,1
protein-17193,0
protein-5002,0
protein-2924,1
protein-58442,0
protein-17357,0
protein-52292,0
protein-51560,0
protein-7828,1
protein-4812,0
protein-16271,0
protein-46022,1
protein-48125,0
protein-27997,1
protein-23572,0
protein-29835,1
protein-8157,1
protein-31447,1
protein-16482,0
protein-16755,0
protein-48157,0
protein-5810,1
protein-36798,0
protein-60468,1
protein-55775,0
protein-53326,1
protein-1232,0
protein-16493,0
protein-52119,0
protein-33168,0
protein-26429,0
protein-4969,0
protein-62522,1
protein-19914,0
protein-3111,1
protein-63922,0
protein-457,0
protein-58419,0
protein-63198,0
protein-39813,0
protein-51548,0
protein-43387,0
protein-59442,0
protein-25622,1
protein-6798,1
protein-40808,0
protein-17781,0
protein-35148,0
protein-44142,0
protein-64078,0
protein-20988,1
protein-36796,0
protein-33342,1
protein-51622,0
protein-14575,0
protein-2163,0
protein-54164,1
protein-21493,1
protein-15482,1
protein-7337,0
protein-57691,0
protein-27511,1
protein-3590,0
protein-46150,1
protein-49220,0
protein-36833,0
protein-6664,1
protein-24026,0
protein-16691,1
protein-27440,1
protein-37926,0
protein-55687,1
protein-13243,1
protein-62889,1
protein-31719,1
protein-20583,1
protein-10445,1
protein-5293,0
protein-40660,0
protein-16661,1
protein-19755,0
protein-29892,1
protein-57549,0
protein-58462,0
protein-58773,1
protein-18708,1
protein-56501,1
protein-32854,0
protein-23523,0
protein-22903,1
protein-41131,0
protein-50475,0
protein-31570,1
protein-53122,0
protein-22372,1
protein-10366,1
protein-10406,0
protein-6754,1
protein-40913,0
protein-53211,0
protein-36643,1
protein-45274,1
protein-54282,0
protein-46987,0
protein-51634,0
protein-28202,1
protein-34804,1
protein-44199,0
protein-45036,1
protein-55614,1
protein-21398,0
protein-44197,0
protein-15362,1
protein-4547,1
protein-32945,0
protein-32938,0
protein-48371,0
protein-29796,1
protein-6150,1
protein-14829,0
protein-23343,0
protein-4179,0
protein-5124,0
protein-57431,1
protein-29727,1
protein-34183,0
protein-54038,0
protein-29510,1
protein-17073,0
protein-39118,1
protein-12510,1
protein-7769,1
protein-17708,0
protein-63572,0
protein-28625,1
protein-26269,1
protein-50744,1
protein-21907,0
protein-54009,0
protein-10621,1
protein-58712,0
protein-40039,1
protein-16993,1
protein-24098,0
protein-34093,1
protein-10595,1
protein-17681,0
protein-27437,1
protein-53965,0
protein-34171,0
protein-30047,0
protein-48787,1
protein-10602,1
protein-30457,0
protein-44716,1
protein-28601,1
protein-38497,1
protein-41190,1
protein-37108,1
protein-31012,0
protein-45538,1
protein-50616,0
protein-54800,0
protein-476,0
protein-61857,1
protein-19083,0
protein-58638,1
protein-12010,1
protein-15189,1
protein-17852,0
protein-22089,0
protein-44006,1
protein-7376,0
protein-16477,0
protein-25696,1
protein-8123,1
protein-7601,1
protein-62622,1
protein-9240,1
protein-42519,1
protein-3304,0
protein-20785,0
protein-17003,1
protein-924,0
protein-61541,1
protein-19986,0
protein-23194,0
protein-27780,1
protein-20260,1
protein-35444,0
protein-7029,1
protein-45319,1
protein-38213,1
protein-20731,1
protein-7382,0
protein-27759,1
protein-62061,1
protein-40046,1
protein-8542,1
protein-25777,1
protein-55698,1
protein-24913,0
protein-51438,1
protein-41848,1
protein-55729,0
protein-61889,1
protein-20692,0
protein-12399,1
protein-39519,0
protein-25787,1
protein-32838,0
protein-56612,0
protein-17735,0
protein-33021,0
protein-19968,0
protein-20910,1
protein-58682,1
protein-20253,1
protein-56793,1
protein-48685,1
protein-15632,1
protein-59348,0
protein-43521,0
protein-25895,1
protein-25847,1
protein-25914,1
protein-32980,0
protein-20706,1
protein-48350,0
protein-25717,1
protein-12489,1
protein-42412,1
protein-15700,1
protein-56200,1
protein-25316,1
protein-52912,0
protein-50638,0
protein-12011,1
protein-11128,0
protein-18742,1
protein-54106,1
protein-57748,0
protein-17783,0
protein-42797,0
protein-25613,1
protein-22071,0
protein-60565,0
protein-47265,0
protein-39708,0
protein-57130,1
protein-57132,1
protein-11071,0
protein-17698,0
protein-39286,1
protein-48466,0
protein-10287,0
protein-48594,1
protein-30370,0
protein-25550,1
protein-471,0
protein-38742,1
protein-62526,1
protein-14599,0
protein-64276,1
protein-35152,0
protein-36719,1
protein-57138,1
protein-32658,1
protein-1783,0
protein-16974,1
protein-40255,0
protein-12430,1
protein-14364,0
protein-4110,0
protein-32612,1
protein-53354,1
protein-52818,1
protein-60543,0
protein-24025,0
protein-47286,0
protein-20028,0
protein-13308,1
protein-42906,0
protein-29391,1
protein-60373,1
protein-9393,0
protein-19633,0
protein-10428,1
protein-63427,0
protein-48018,0
protein-45382,1
protein-22134,0
protein-39991,0
protein-10073,0
protein-47139,0
protein-57683,0
protein-61305,1
protein-47090,0
protein-31435,1
protein-182,0
protein-12442,1
protein-33307,1
protein-36648,1
protein-59645,1
protein-53643,1
protein-46848,0
protein-49857,0
protein-54304,1
protein-38040,1
protein-39793,0
protein-35818,0
protein-5883,1
protein-49427,0
protein-17294,0
protein-40052,1
protein-41358,0
protein-12540,1
protein-20071,0
protein-30514,0
protein-43995,1
protein-1009,0
protein-45739,1
protein-43325,0
protein-48088,0
protein-45583,1
protein-29367,1
protein-22997,1
protein-54614,1
protein-16469,0
protein-7553,1
protein-55328,1
protein-25863,1
protein-24848,1
protein-53881,0
protein-61581,1
protein-59343,0
protein-51230,0
protein-16182,1
protein-30941,0
protein-48997,0
protein-41627,1
protein-61090,0
protein-20212,1
protein-50923,1
protein-30971,0
protein-61612,1
protein-15814,1
protein-60722,1
protein-44545,1
protein-56547,1
protein-8135,1
protein-12556,1
protein-40339,0
protein-9738,0
protein-20980,1
protein-7610,1
protein-25859,1
protein-16622,1
protein-28143,1
protein-41958,1
protein-4088,1
protein-56208,1
protein-2878,1
protein-11215,0
protein-7232,1
protein-45286,1
protein-57123,1
protein-44772,1
protein-1818,0
protein-6111,1
protein-60807,1
protein-58423,0
protein-50080,0
protein-44036,0
protein-56330,1
protein-47314,0
protein-22938,1
protein-10179,0
protein-34403,1
protein-16099,1
protein-58130,1
protein-1211,0
protein-3705,0
protein-61500,1
protein-21369,1
protein-811,1
protein-41548,1
protein-64239,1
protein-48682,1
protein-2260,0
protein-1336,0
protein-27578,1
protein-17776,0
protein-59059,1
protein-57579,0
protein-41748,1
protein-539,0
protein-2454,0
protein-40349,0
protein-62586,1
protein-54949,0
protein-17731,0
protein-48032,0
protein-52302,0
protein-17449,0
protein-9975,0
protein-38119,1
protein-42628,0
protein-39863,0
protein-31362,1
protein-46936,0
protein-24186,0
protein-41230,1
protein-39734,0
protein-26648,1
protein-46528,1
protein-20510,0
protein-38327,1
protein-8847,1
protein-4401,0
protein-12806,1
protein-30866,0
protein-11936,1
protein-48169,0
protein-34380,1
protein-26790,0
protein-28638,1
protein-35509,0
protein-12803,1
protein-21956,1
protein-54446,1
protein-46998,0
protein-3834,0
protein-47349,0
protein-63841,0
protein-42998,0
protein-10060,0
protein-15972,1
protein-51982,1
protein-25423,1
protein-60423,1
protein-29009,1
protein-45833,1
protein-42452,1
protein-30880,0
protein-22634,1
protein-1285,0
protein-59764,1
protein-51354,1
protein-46691,1
protein-23495,0
protein-63527,0
protein-41372,0
protein-11319,0
protein-42506,1
protein-1024,0
protein-54629,1
protein-59777,1
protein-14740,0
protein-50396,1
protein-41936,1
protein-7276,1
protein-23181,0
protein-57462,1
protein-53117,0
protein-60533,0
